player_id,player_name,bowling_type,bowling_hand,batting_type,batting_hand,date_of_birth,is_wicket_keeper,nationality
7759,Jack Shutt,Right-arm offbreak,R,Right-hand bat,R,24/06/97,0,England
7756,Kaleem Sana,Left-arm medium-fast,L,Right-hand bat,R,01/01/94,0,
7755,Harsh Thaker,Right-arm offbreak,R,Right-hand bat,R,24/10/97,0,
7754,Matthew Nandu,Right-arm offbreak,R,Left-hand bat,L,09/06/03,0,West Indies
7752,Kevin Wickham,Right-arm offbreak,R,Right-hand bat,R,19/03/03,0,West Indies
7750,Bhupinder Singh,Right-arm offbreak,R,Right-hand bat,R,,0,
7746,Armaan Kapoor,Right-arm medium,R,Right-hand bat,R,28/12/94,0,
7745,S Senthil Nathan,Right-arm medium,R,Right-hand bat,R,22/06/90,0,India
7744,Jordan Cox,,,Right-hand bat,R,21/10/00,0,England
7743,Rajendran Karthikeyan,Right-arm offbreak,R,Right-hand bat,R,30/05/87,0,India
7741,Gareth Delany,Right-arm Leg-Break,R,Right-hand bat,R,28/04/97,0,
7740,Ashwin Balaji,Right-arm medium,R,Left-hand bat,L,13/02/89,0,India
7734,Praanesh B,Right-arm medium,R,Right-hand bat,R,16/08/96,0,India
7731,Neyan Shyam Kangayan,Right-arm Leg-Break,R,Right-hand bat,R,16/05/03,0,India
7727,Dev Rahul,Right-arm medium,R,Right-hand bat,R,29/09/99,0,India
7726,Ganeshan Periyaswamy,Right-arm medium,R,Right-hand bat,R,05/03/94,0,India
7723,N Selva Kumaran,Slow left-arm orthodox,L,Left-hand bat,L,18/02/94,0,India
7721,NS Harish,Slow left-arm orthodox,L,Left-hand bat,L,09/02/98,0,India
7720,Sugendhran P,Right-arm medium,R,Left-hand bat,L,08/11/90,0,India
7714,Tom Price,Right-arm medium,R,Right-hand bat,R,02/01/00,0,England
7712,James Philip Arthur Taylor,Right-arm medium,R,Right-hand bat,R,19/01/01,0,England
7711,Fynn Hudson-Prentice,Right-arm medium-fast,R,Right-hand bat,R,12/01/96,0,England
7710,Brandon Glover,Right-arm Fast,R,Right-hand bat,R,03/04/97,0,
